filename,width,height,class,xmin,ymin,xmax,ymax
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,6,600,491,613,516
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,9,612,490,624,512
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,1,623,489,634,511
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,4,632,487,644,510
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,0,642,486,656,508
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,1,656,485,665,507
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,5,665,484,676,505
91c981e2452925ebdb9547ead2491b63.jpg,1024,768,1,677,485,685,505
135-vbl-armee-francaise-hobby-boss.jpg,800,600,6,479,381,489,395
135-vbl-armee-francaise-hobby-boss.jpg,800,600,6,489,381,497,395
135-vbl-armee-francaise-hobby-boss.jpg,800,600,0,498,381,507,395
135-vbl-armee-francaise-hobby-boss.jpg,800,600,8,507,381,515,395
135-vbl-armee-francaise-hobby-boss.jpg,800,600,0,515,380,524,393
135-vbl-armee-francaise-hobby-boss.jpg,800,600,0,524,379,533,393
135-vbl-armee-francaise-hobby-boss.jpg,800,600,8,533,378,540,395
135-vbl-armee-francaise-hobby-boss.jpg,800,600,4,540,377,549,393
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,6,350,487,367,514
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,0,367,490,380,514
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,2,379,489,394,514
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,4,394,489,409,514
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,0,408,489,422,517
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,0,421,492,436,517
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,3,434,492,449,518
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,4,449,490,463,518
5e2387c5c14119aae6f111f8d18d1ec4.jpg,1024,768,4,340,416,388,474
